date,open,high,low,close,volume,adjusted,oi
2009-11-02,1252.0827,1263.9722,1252.0827,1263.9722,86803442.516277,1263.9722,5041340.0
2009-11-03,1266.5427,1271.4285,1265.001,1266.0357,82828685.4298427,1266.0357,5151206.0
2009-11-04,1272.4763,1274.6012,1271.1394,1272.7387,87569130.3394111,1272.7387,5172240.0
2009-11-05,1271.0804,1271.6002,1267.742,1267.742,77023973.3539535,1267.742,5211054.0
2009-11-06,1268.4613,1273.6176,1268.4613,1273.141,70601331.3219718,1273.141,5219284.0
2009-11-09,1271.595,1277.4139,1271.595,1277.4139,74761651.2117799,1277.4139,5342050.0
2009-11-10,1280.0514,1280.0514,1270.878,1272.2057,87346528.5019809,1272.2057,5291052.0
2009-11-11,1275.4173,1279.6933,1275.2524,1278.3107,79191201.0695672,1278.3107,5479928.0
2009-11-12,1283.7236,1288.429,1282.2747,1288.429,99678995.0381787,1288.429,5505286.0
2009-11-13,1282.1203,1291.4475,1281.815,1291.4475,97938007.2570772,1291.4475,5539668.0
2009-11-16,1296.4836,1306.3416,1295.5583,1304.2192,94875501.0532688,1304.2192,5703816.0
2009-11-17,1314.4847,1314.4847,1305.9075,1305.9278,123202764.3557659,1305.9278,5655236.0
2009-11-18,1311.3986,1319.7708,1310.0982,1319.7708,117205626.9921118,1319.7708,5782118.0
2009-11-19,1317.1211,1322.8993,1315.4447,1319.926,111021333.7483502,1319.926,5856474.0
2009-11-20,1319.3867,1326.2332,1319.3867,1325.0825,120431975.0107533,1325.0825,5927264.0
2009-11-23,1332.9475,1351.7429,1332.9475,1351.6405,133436352.2954398,1351.6405,6143436.0
2009-11-24,1342.3604,1349.4035,1327.4479,1331.2538,147127069.9274905,1331.2538,5950524.0
2009-11-25,1337.6353,1346.8521,1336.8474,1346.5008,150173522.8195988,1346.5008,6113302.0
2009-11-26,1352.2279,1359.2279,1344.0449,1347.7547,164251266.1896423,1347.7547,6162898.0
2009-11-27,1337.2014,1339.6521,1311.1482,1315.5217,158258111.5178222,1315.5217,5705052.0
2009-11-30,1335.311,1345.3316,1335.311,1342.0443,143810988.7982197,1342.0443,5981676.0
2009-12-01,1346.919,1346.919,1338.8604,1342.5461,126252556.5817965,1342.5461,5998130.0
2009-12-02,1351.746,1358.6878,1347.245,1354.6777,132746948.3389724,1354.6777,6098660.0
2009-12-03,1356.3341,1363.4967,1355.199,1362.1757,155394770.5418054,1362.1757,6186614.0
2009-12-04,1356.1784,1366.349,1355.6642,1366.349,168794506.5812451,1366.349,6178460.0
2009-12-07,1362.3308,1377.4687,1362.3308,1370.2961,161311978.34396,1370.2961,6297040.0
2009-12-08,1374.4904,1375.884,1365.6432,1373.2119,167021779.8098356,1373.2119,6414854.0
2009-12-09,1358.6035,1364.6392,1350.9806,1350.9806,169685802.3776057,1350.9806,6245416.0
2009-12-10,1349.7423,1353.6455,1329.6356,1342.0954,147019537.2479722,1342.0954,6013954.0
2009-12-11,1345.7013,1351.1217,1343.2361,1349.742,142130262.2081759,1349.742,6127528.0
2009-12-14,1350.2005,1354.8242,1339.5738,1353.0539,134184546.9105953,1353.0539,6095758.0
2009-12-15,1359.8104,1361.0969,1356.7377,1358.652,133171350.1080229,1358.652,6132494.0
2009-12-16,1359.1295,1371.1542,1358.4272,1370.1044,134215060.457262,1370.1044,6198294.0
2009-12-17,1382.9673,1383.2872,1367.5422,1370.283,124915321.8443907,1370.283,6196856.0
2009-12-18,1357.0066,1369.0856,1357.0066,1367.4579,122390693.490811,1367.4579,6151874.0
2009-12-21,1369.8257,1371.057,1364.5085,1368.0578,124034227.8663433,1368.0578,6216834.0
2009-12-22,1361.7528,1366.5406,1359.2909,1359.2909,117139636.8520314,1359.2909,6203326.0
2009-12-23,1362.3429,1366.0172,1354.8297,1364.0307,113001037.9507641,1364.0307,6255948.0
2009-12-24,1372.4946,1382.5788,1369.1302,1382.359,113591334.1527466,1382.359,6352792.0
2009-12-25,1383.4723,1389.1811,1381.1475,1386.9952,118581248.7515793,1386.9952,6343540.0
2009-12-28,1387.7932,1404.489,1387.6075,1403.1225,126726680.72659,1403.1225,6545654.0
2009-12-29,1403.2583,1406.3808,1400.0929,1402.3392,118765953.7444043,1402.3392,6534080.0
2009-12-30,1400.54,1404.7755,1397.6199,1404.5478,128164800.1117604,1404.5478,6435062.0
2009-12-31,1407.5609,1422.2004,1407.5609,1422.2004,113481136.1333087,1422.2004,6425214.0
2010-01-04,1428.8368,1439.1651,1427.0701,1430.4799,109565904.9717474,1430.4799,6652010.0
2010-01-05,1438.1638,1443.4539,1434.9998,1441.4393,154284855.5998486,1441.4393,6625576.0
2010-01-06,1439.2087,1460.6978,1439.0632,1454.1171,176149435.4993867,1454.1171,6775098.0
2010-01-07,1465.0754,1475.795,1423.8865,1432.498,202558726.322897,1432.498,6289338.0
2010-01-08,1432.5282,1433.914,1405.1589,1420.3436,173683138.2631297,1420.3436,6209592.0
2010-01-11,1435.7333,1444.9395,1435.7333,1444.1139,156463112.3082334,1444.1139,6415300.0
2010-01-12,1435.6988,1438.2927,1427.3439,1433.9426,143066501.1500789,1433.9426,6503624.0
2010-01-13,1398.6948,1410.2984,1392.8711,1394.6335,156906355.2732678,1394.6335,6210878.0
2010-01-14,1414.2161,1414.2161,1403.972,1409.0916,156137052.391392,1409.0916,6315154.0
2010-01-15,1406.114,1411.8087,1395.2598,1398.636,144921730.9146344,1398.636,6232736.0
2010-01-18,1389.982,1401.625,1389.982,1401.3217,113446823.7113541,1401.3217,6212936.0
2010-01-19,1407.1671,1412.4126,1403.8199,1411.4203,128070042.682202,1411.4203,6258446.0
2010-01-20,1416.7174,1419.0637,1400.6845,1400.9422,127733750.3109563,1400.9422,6310648.0
2010-01-21,1397.011,1413.742,1394.2892,1413.742,165522051.2456022,1413.742,6444254.0
2010-01-22,1395.0189,1400.295,1375.1072,1387.8073,156417127.5355961,1387.8073,6242608.0
2010-01-25,1387.2896,1394.8903,1383.9117,1390.5428,115771306.4822292,1390.5428,6365032.0
2010-01-26,1395.2483,1395.5615,1375.9686,1375.9686,130408281.05795,1375.9686,6386674.0
2010-01-27,1380.6552,1382.3902,1373.4083,1375.3471,124439788.4394098,1375.3471,6375032.0
2010-01-28,1352.8962,1355.0782,1338.1246,1345.2255,119545060.17541,1345.2255,6240556.0
2010-01-29,1340.019,1344.1662,1327.4623,1329.7502,137054505.2822748,1329.7502,6058966.0
2010-02-01,1329.1194,1332.3059,1308.7049,1319.7065,154764586.1493007,1319.7065,6024590.0
2010-02-02,1332.5482,1333.4908,1315.3009,1318.8049,142357336.9148966,1318.8049,5969640.0
2010-02-03,1337.5775,1347.5382,1326.4739,1347.5382,145794645.0563766,1347.5382,5984182.0
2010-02-04,1325.5916,1335.9564,1320.2033,1328.0471,148652042.6307334,1328.0471,5925250.0
2010-02-05,1302.1331,1308.9389,1299.2915,1306.8405,108603135.1750117,1306.8405,5798520.0
2010-02-08,1310.3486,1317.175,1310.3486,1313.1869,106511976.8734276,1313.1869,5851702.0
2010-02-09,1312.9506,1322.3241,1306.2305,1321.9832,109065770.7856687,1321.9832,5705580.0
2010-02-10,1330.9016,1341.2664,1328.4588,1340.2985,115524563.4050667,1340.2985,5631040.0
2010-02-11,1346.3436,1357.588,1345.3102,1352.8839,91432954.1402226,1352.8839,5284164.0
2010-02-12,1362.2235,1364.158,1356.8581,1363.9601,65501188.0676102,1363.9601,5165188.0
2010-02-22,1405.8012,1405.8012,1385.1234,1387.0194,104522530.3940659,1387.0194,5177602.0
2010-02-23,1381.2047,1393.8781,1380.8437,1393.3823,108593239.7176088,1393.3823,5663060.0
2010-02-24,1380.3157,1389.1742,1380.1837,1385.3912,115976445.7477718,1385.3912,5761990.0
