date,open,high,low,close,volume,adjusted
1993-06-03,372.68,373.44,369.38,372.06,13633347.7343398,372.06
1993-06-04,372.06,372.06,367.99,368.63,12437767.7975653,368.63
1993-06-07,368.63,371.77,364.32,364.35,19138020.236586,364.35
1993-06-08,364.35,364.35,359.0,360.74,16676587.5834402,360.74
1993-06-09,360.74,363.22,358.13,360.25,17213617.3070297,360.25
1993-06-10,360.25,360.56,356.44,359.55,12228963.3737999,359.55
1993-06-11,359.55,364.11,359.55,363.07,10169628.1375665,363.07
1993-06-14,363.07,367.93,363.07,367.14,10287977.7822289,367.14
1993-06-15,367.14,369.56,366.51,366.97,12179301.0862677,366.97
1993-06-16,366.97,368.38,362.15,365.01,16183778.2918896,365.01
1993-06-17,365.01,365.85,362.25,364.01,15037817.7933914,364.01
1993-06-18,364.01,365.77,357.96,357.96,13923394.3472,357.96
1993-06-21,357.96,358.67,355.0,357.86,13246975.9943249,357.86
1993-06-22,357.86,359.14,355.38,356.2,17482153.5934524,356.2
1993-06-23,356.2,357.53,353.7,354.93,14925552.7430599,354.93
1993-06-24,354.93,358.6,352.75,357.82,14917025.7411454,357.82
1993-06-25,357.82,363.63,357.82,362.22,14863207.0757957,362.22
1993-06-28,362.22,368.45,362.22,368.45,15291014.0462192,368.45
1993-06-29,368.45,369.82,364.79,365.96,15225411.8355102,365.96
1993-06-30,365.96,369.78,365.38,366.13,13311035.6318232,366.13
1993-07-01,366.13,366.51,361.7,363.73,13508099.3594852,363.73
1993-07-02,363.73,364.79,361.37,364.21,8035649.4976394,364.21
1993-07-06,364.21,365.23,359.69,360.79,10572668.2381077,360.79
1993-07-07,360.79,360.79,355.78,357.86,13038557.2138621,357.86
1993-07-08,357.86,361.3,356.92,360.7,11690048.2829528,360.7
1993-07-09,360.7,362.88,358.32,362.46,9851858.0561702,362.46
1993-07-12,362.46,365.15,360.75,362.87,11898852.7067182,362.87
1993-07-13,362.87,364.49,361.13,361.98,13505614.1026458,361.98
1993-07-14,361.98,366.32,360.1,363.74,17386728.3006706,363.74
1993-07-15,363.74,363.74,359.97,360.46,18044507.2272503,360.46
1993-07-16,360.46,360.46,350.11,351.07,25144800.3189027,351.07
1993-07-19,351.07,351.39,346.63,349.06,17951224.3972611,349.06
1993-07-20,349.06,356.33,349.06,355.76,16070056.3668592,355.76
1993-07-21,355.76,355.76,350.98,352.64,14457681.718415,352.64
1993-07-22,352.64,354.42,347.14,348.35,13890271.8724266,348.35
1993-07-23,348.35,354.61,348.35,353.2,14277457.7483027,353.2
1993-07-26,353.2,357.97,353.2,356.4,16019408.5464424,356.4
1993-07-27,356.4,356.78,350.86,352.02,23540866.9738613,352.02
1993-07-28,352.02,357.35,351.86,356.81,14207313.5164735,356.81
1993-07-29,356.81,359.64,356.5,357.33,16988744.4123199,357.33
1993-07-30,357.33,357.33,350.76,352.86,15765783.8010562,352.86
1993-08-02,352.86,356.62,352.86,355.25,14678312.5367955,355.25
1993-08-03,355.25,357.41,354.99,356.23,11816967.7787856,356.23
1993-08-04,356.23,360.73,355.11,360.11,13889029.2440069,360.11
1993-08-05,360.11,362.57,360.11,362.41,17849800.2086601,362.41
1993-08-06,362.41,364.83,361.57,363.14,14306766.6393053,363.14
1993-08-09,363.14,365.36,361.05,362.29,15439015.375931,362.29
1993-08-10,362.29,363.03,358.38,358.64,13919580.7634292,358.64
1993-08-11,358.64,360.68,358.64,359.73,14975557.8246388,359.73
1993-08-12,359.64,362.72,356.93,359.4,15935766.7990199,359.4
1993-08-13,359.4,361.03,358.43,360.45,14301110.5375329,360.45
1993-08-16,360.45,370.73,360.45,370.6,17118834.7530857,370.6
1993-08-17,370.6,374.4,369.89,374.16,17587048.5717774,374.16
1993-08-18,374.16,379.64,374.16,375.81,19857587.7901039,375.81
1993-08-19,375.81,375.81,369.85,370.27,14603497.7360784,370.27
1993-08-20,370.27,371.4,368.56,370.87,15035075.4410169,370.87
1993-08-23,370.87,371.92,368.74,370.49,12143350.5606081,370.49
1993-08-24,370.49,372.17,369.07,371.0,14987984.1088358,371.0
1993-08-25,371.0,372.2,366.4,367.95,19050864.8501836,367.95
1993-08-26,367.95,367.95,360.7,364.67,25614085.3689906,364.67
1993-08-27,364.67,367.03,363.48,366.5,14499288.3458471,366.5
1993-08-30,366.5,370.89,366.5,369.3,11403943.801631,369.3
1993-08-31,369.3,372.88,369.3,372.65,14571575.0404689,372.65
1993-09-01,372.65,375.3,371.49,374.16,16119118.7648094,374.16
1993-09-02,374.16,376.97,373.38,374.56,15588387.8818301,374.56
1993-09-03,374.56,374.63,371.9,373.7,9334153.3469698,373.7
1993-09-07,373.7,373.8,365.45,366.68,12416257.4711277,366.68
1993-09-08,366.68,366.68,358.02,364.84,19032311.1223999,364.84
1993-09-09,364.84,369.83,364.84,368.3,14911583.8856522,368.3
1993-09-10,368.3,371.89,368.13,370.64,12115798.4890955,370.64
1993-09-13,370.64,371.76,367.38,367.59,11332385.5443586,367.59
1993-09-14,367.59,367.59,360.14,364.19,16351833.07334,364.19
1993-09-15,364.19,367.42,362.4,367.32,16614284.7654318,367.32
1993-09-16,367.32,367.32,364.91,365.74,11306461.7445683,365.74
1993-09-17,365.74,368.06,362.41,366.18,15804562.377602,366.18
1993-09-20,366.18,371.07,366.18,367.45,13427499.9092281,367.45
1993-09-21,367.45,369.75,362.31,365.64,19467059.6722713,365.64
1993-09-22,365.64,374.78,365.64,374.0,19197409.3051965,374.0
1993-09-23,374.0,378.14,373.85,377.06,22249776.0457933,377.06
1993-09-24,377.06,378.16,374.92,378.04,17097710.0699508,378.04
1993-09-27,378.04,382.59,378.04,382.51,14949805.421872,382.51
1993-09-28,382.51,386.09,380.83,386.02,15590016.1535524,386.02
1993-09-29,386.02,388.33,383.09,386.89,19625301.9741317,386.89
1993-09-30,386.89,386.89,382.17,382.71,15371999.1397789,382.71
1993-10-01,386.89,386.89,382.17,382.71,15371999.1397789,382.71
1993-10-04,382.72,384.82,381.34,384.29,12530365.0394608,384.29
1993-10-05,384.29,386.52,378.43,381.27,19960340.3056363,381.27
1993-10-06,381.27,384.83,380.09,380.42,15935681.1005082,380.42
1993-10-07,380.42,380.95,376.63,377.99,15064812.824578,377.99
1993-10-08,377.99,381.35,375.64,381.31,13937748.8479103,381.31
1993-10-11,381.31,383.82,379.11,380.65,19747636.5995884,380.65
1993-10-12,380.65,385.2,380.65,382.56,22267344.2406925,382.56
1993-10-13,382.56,386.6,382.06,386.3,23902686.0902732,386.3
1993-10-14,386.29,392.81,386.29,391.98,21423128.2019021,391.98
1993-10-15,391.98,396.2,390.9,392.45,25430347.7598985,392.45
1993-10-18,392.45,394.22,389.11,389.85,19115567.2265197,389.85
1993-10-19,389.85,390.08,380.77,382.73,19961197.2907533,382.73
1993-10-20,382.73,385.87,382.03,383.93,18609688.9119344,383.93
1993-10-21,383.93,387.51,381.32,387.35,24150483.3368637,387.35
1993-10-22,387.35,392.67,386.52,388.19,22921952.3223392,388.19
1993-10-25,388.19,390.18,383.96,387.4,16950308.6298209,387.4
1993-10-26,387.4,388.08,382.34,384.6,14729860.1915851,384.6
1993-10-27,384.6,390.82,384.4,390.25,17140645.0243142,390.25
1993-10-28,390.25,392.7,388.04,389.24,18288705.1363492,389.24
1993-10-29,389.24,392.08,388.8,390.98,14528125.8950353,390.98
1993-11-01,390.98,395.43,390.93,395.05,13464650.2140516,395.05
1993-11-02,395.03,396.09,391.09,395.32,17421864.690469,395.32
1993-11-03,395.32,396.02,386.24,387.93,21209096.1689228,387.93
1993-11-04,387.93,387.93,376.5,377.46,19008229.8406112,377.46
1993-11-05,377.46,383.98,371.82,383.64,22523797.036965,383.64
1993-11-08,383.64,387.82,380.53,384.85,14983613.484739,384.85
1993-11-09,384.85,391.47,384.85,385.91,18009199.4404285,385.91
1993-11-10,385.91,393.19,385.91,392.98,17069472.4103446,392.98
1993-11-11,392.98,396.88,392.98,394.66,17513219.3039449,394.66
1993-11-12,394.66,396.52,393.7,395.17,14715248.5953397,395.17
1993-11-15,395.17,395.93,390.78,391.12,14878847.0541815,391.12
1993-11-16,391.12,393.88,388.27,393.38,19245914.6628206,393.38
1993-11-17,393.38,394.78,385.11,385.79,20932375.6746324,385.79
1993-11-18,385.79,386.57,380.47,381.74,26520604.2257895,381.74
1993-11-19,381.39,383.27,378.0,380.56,22061624.9633485,380.56
1993-11-22,380.56,380.56,372.32,373.37,18711327.3468147,373.37
1993-11-23,373.37,381.43,373.37,381.22,18322855.993263,381.22
1993-11-24,381.22,386.38,381.22,385.03,13891171.7067995,385.03
1993-11-26,385.03,386.79,385.03,386.31,3773219.7717902,386.31
1993-11-29,386.31,388.48,383.05,383.18,13758081.9181241,383.18
1993-11-30,383.18,387.69,380.87,386.76,17365989.2608384,386.76
1993-12-01,386.76,394.84,386.76,392.94,21297022.8419305,392.94
1993-12-02,392.94,396.16,391.45,396.16,19465902.7423633,396.16
1993-12-03,396.16,401.81,396.16,401.77,25678702.046815,401.77
1993-12-06,401.77,401.77,392.84,399.01,23773238.4883452,399.01
1993-12-07,399.01,399.79,395.12,396.98,15913528.0352329,396.98
1993-12-08,396.98,396.98,392.89,394.81,15563920.9567387,394.81
1993-12-09,394.81,394.81,386.08,387.25,21951759.4713447,387.25
1993-12-10,387.25,387.47,385.15,386.96,19914486.4599642,386.96
1993-12-13,386.96,388.17,385.1,387.78,12596438.5919841,387.78
1993-12-14,387.78,388.36,381.84,382.83,14857251.0292323,382.83
1993-12-15,382.83,385.19,381.96,384.94,14045257.6308423,384.94
1993-12-16,384.94,387.64,384.94,386.18,15440129.4565831,386.18
1993-12-17,386.18,389.89,386.18,389.03,18325341.2501024,389.03
1993-12-20,389.03,391.04,388.48,389.72,12805243.0157495,389.72
1993-12-21,389.72,389.72,386.79,388.51,12658098.6711548,388.51
1993-12-22,388.51,389.26,384.82,388.4,20543261.582243,388.4
1993-12-23,388.4,392.1,388.4,390.32,12348727.0439054,390.32
1993-12-27,390.32,392.04,389.74,391.84,10481742.1171904,391.84
1993-12-28,391.84,395.02,391.45,394.74,14941835.4602836,394.74
1993-12-29,394.74,396.64,393.85,395.38,13221694.9333724,395.38
1993-12-30,395.38,398.25,395.11,397.72,14074052.3307746,397.72
1993-12-31,397.72,400.55,397.24,398.28,9613359.0980995,398.28
1994-01-03,398.26,398.26,392.05,395.53,13495535.9576695,395.53
1994-01-04,395.53,398.9,394.26,398.19,15039163.2600251,398.19
1994-01-05,398.19,401.7,396.7,401.07,17645278.9965096,401.07
1994-01-06,401.07,404.56,401.07,404.21,18351263.3359225,404.21
1994-01-07,404.21,405.42,399.98,404.78,15724603.9522124,404.78
1994-01-10,404.78,409.93,404.55,408.91,16537833.1231412,408.91
1994-01-11,408.91,409.24,405.59,407.85,16979871.1884181,407.85
1994-01-12,407.85,410.58,404.7,408.47,20789257.4461174,408.47
1994-01-13,408.47,408.47,404.44,408.0,20238048.0467815,408.0
1994-01-14,408.0,412.36,408.0,411.75,18408040.3138962,411.75
1994-01-17,411.75,411.81,409.36,410.79,17400054.4192405,410.79
1994-01-18,410.79,411.99,409.53,410.95,23581059.5758502,410.95
1994-01-19,410.95,410.95,403.67,406.38,27505837.165588,406.38
1994-01-20,406.38,411.6,406.38,411.53,22843323.9378513,411.53
1994-01-21,411.53,413.29,409.95,411.59,24513630.7802069,411.59
1994-01-24,411.59,411.97,407.78,409.23,18957787.6966226,409.23
1994-01-25,409.23,409.23,403.44,406.48,19651133.2195294,406.48
1994-01-26,406.48,408.17,404.65,407.19,18460402.104547,407.19
1994-01-27,407.19,410.11,406.59,409.93,15634922.173685,409.93
1994-01-28,409.93,412.65,409.73,412.52,16454885.5336634,412.52
1994-01-31,412.52,415.42,412.26,413.99,16208545.1617719,413.99
1994-02-01,413.99,413.99,408.96,410.22,16094951.784509,410.22
1994-02-02,410.22,412.44,408.68,411.78,18922402.7811402,411.78
1994-02-03,411.78,411.78,407.19,410.05,14559277.3040395,410.05
1994-02-04,410.05,410.08,397.11,397.48,21628976.0270137,397.48
1994-02-07,410.05,410.08,397.11,397.48,21628976.0270137,397.48
1994-02-08,410.05,410.08,397.11,397.48,21628976.0270137,397.48
1994-02-09,410.05,410.08,397.11,397.48,21628976.0270137,397.48
1994-02-10,410.05,410.08,397.11,397.48,21628976.0270137,397.48
1994-02-11,410.05,410.08,397.11,397.48,21628976.0270137,397.48
1994-02-14,401.83,405.56,401.83,405.11,13762452.542221,405.11
1994-02-15,405.11,409.17,404.91,408.28,16149498.8872083,408.28
1994-02-16,408.28,411.29,407.33,408.74,21246417.8707696,408.74
1994-02-17,408.74,412.43,405.35,407.39,18786056.4490201,407.39
1994-02-18,407.39,408.23,403.03,407.94,17381414.992945,407.94
1994-02-22,407.94,410.81,405.03,410.48,17773614.2317558,410.48
1994-02-23,410.48,412.37,408.21,408.91,17251153.2551558,408.91
1994-02-24,408.91,408.91,400.41,402.79,22320220.2224136,402.79
1994-02-25,402.79,406.63,402.06,406.45,15744487.7208979,406.45
1994-02-28,406.45,413.22,406.45,412.17,15057485.6018273,412.17
1994-03-01,412.17,414.03,406.36,409.69,16680315.4686993,409.69
1994-03-02,409.69,409.69,398.3,408.18,22593469.9269799,408.18
1994-03-03,408.18,411.19,407.39,408.17,22522040.2174751,408.17
1994-03-04,408.17,412.97,408.17,411.99,22051212.5941765,411.99
1994-03-07,411.99,416.29,411.99,415.3,19136563.3618871,415.3
1994-03-08,415.3,415.3,410.01,411.97,14236236.7641734,411.97
1994-03-09,411.97,414.33,409.24,413.08,17560867.676452,413.08
1994-03-10,413.08,414.73,407.32,409.77,18739179.3631183,409.77
1994-03-11,409.77,410.59,406.95,409.43,16130945.1594245,409.43
1994-03-14,409.43,413.6,409.43,412.93,15664402.461711,412.93
1994-03-15,412.93,415.07,412.31,412.83,17910131.9608993,412.83
1994-03-16,412.83,415.68,412.36,415.31,17276305.7683408,415.31
1994-03-17,415.31,418.99,415.31,418.45,15181748.4437973,418.45
1994-03-18,418.45,418.89,415.32,417.52,15580246.5232182,417.52
1994-03-21,417.52,417.61,412.76,412.99,13547006.4837986,412.99
1994-03-22,412.99,413.01,409.49,410.67,25853784.1062251,410.67
1994-03-23,410.67,413.66,410.49,410.5,24706538.1300513,410.5
1994-03-24,410.5,410.5,399.83,403.92,27529361.4070505,403.92
1994-03-25,403.92,405.26,399.63,399.86,18956767.8843333,399.86
1994-03-28,399.86,401.45,388.45,393.92,22499244.413362,393.92
1994-03-29,393.94,395.41,382.81,383.0,18265523.6889334,383.0
1994-03-30,383.0,386.08,375.74,380.25,25731406.6315126,380.25
1994-03-31,380.25,383.77,372.32,382.96,23252919.9745378,382.96
1994-04-04,382.96,382.96,368.71,375.42,22841738.5153848,375.42
1994-04-05,375.42,389.68,375.42,389.31,22389164.675079,389.31
1994-04-06,389.31,390.47,384.54,388.76,16218443.3398737,388.76
1994-04-07,388.76,391.94,387.34,390.97,16835515.4733942,390.97
1994-04-08,390.97,391.32,382.64,384.9,15322465.4000143,384.9
1994-04-11,384.9,385.01,381.75,383.85,12929677.2547429,383.85
1994-04-12,383.85,383.85,373.62,375.46,20245716.3496087,375.46
1994-04-13,375.46,377.46,363.7,367.25,28104526.9683481,367.25
1994-04-14,367.25,370.26,361.85,365.65,26474798.371284,365.65
1994-04-15,365.65,368.29,364.4,366.29,18189252.0135174,366.29
1994-04-18,366.29,368.44,359.06,360.46,17565366.8483164,360.46
1994-04-19,360.46,364.51,352.87,357.36,25683415.4649587,357.36
1994-04-20,357.36,362.03,352.12,355.38,25683801.1082614,355.38
1994-04-21,355.38,367.46,355.38,367.02,28143819.7359641,367.02
1994-04-22,367.02,371.89,367.02,369.08,24210215.1995209,369.08
1994-04-25,369.08,375.53,368.67,374.79,16311126.2802809,374.79
1994-04-26,374.79,377.37,373.99,375.46,18358206.6293407,375.46
1994-04-28,375.46,376.43,372.16,372.45,19314473.4721834,372.45
1994-04-29,372.45,374.2,369.35,373.25,18144517.3904082,373.25
1994-05-02,372.45,374.2,369.35,373.25,18144517.3904082,373.25
1994-05-03,379.82,381.31,373.92,377.07,20837635.9699443,377.07
1994-05-04,377.07,378.84,375.12,377.53,18314843.1824188,377.53
1994-05-05,377.53,380.17,377.24,378.23,16871723.0945889,378.23
1994-05-06,378.23,378.23,371.0,374.57,17860726.7689023,374.57
1994-05-09,374.57,374.57,367.03,368.0,15672543.8203228,368.0
1994-05-10,368.0,372.67,368.0,370.02,25113863.1561777,370.02
1994-05-11,370.02,370.31,364.19,365.18,20029970.3463953,365.18
1994-05-12,365.18,369.27,365.18,366.64,19595607.4398265,366.64
1994-05-13,366.64,366.64,359.29,364.82,39295893.8977285,364.82
1994-05-16,364.82,365.08,359.53,360.49,18310129.7642751,360.49
1994-05-17,360.49,360.96,353.43,360.5,28709729.8579977,360.5
1994-05-18,360.49,370.11,360.49,368.59,23459496.2369989,368.59
1994-05-19,368.59,374.91,368.5,371.71,21466448.7995682,371.71
1994-05-20,371.71,371.71,369.17,370.37,16475538.8749839,370.37
1994-05-23,370.37,372.14,367.94,369.89,14870577.1478022,369.89
1994-05-24,369.89,377.64,369.89,377.0,21519153.3842658,377.0
1994-05-25,377.0,379.47,372.96,378.24,19584809.4273518,378.24
1994-05-26,378.24,381.25,374.31,375.8,15716164.3627799,375.8
1994-05-27,375.8,377.71,373.18,376.81,12823411.1002307,376.81
1994-05-31,376.81,379.48,374.49,378.85,14386166.3103985,378.85
1994-06-01,378.85,380.1,374.08,379.23,21603652.1168053,379.23
1994-06-02,379.23,381.6,378.54,380.66,22642189.5308833,380.66
